cell_id,lon,lat,DD35,HDW,tmax_mean,tmin_mean,tmean_mean,tmax_p95,tmin_p05,radn_mean,rain_sum,rain_p95,rh_mean,wind_mean,wind_p95,Yield_pred_t_ha,Fail
EGF_000501,28.55322265625,22.444873046875,305.715345278371,46.3664775550066,33.7826210675185,18.1832493471685,25.9829352073435,40.8035928272923,8.25279892846432,27.1833196711724,1.53474021421468,0,31.4417557575495,3.31389687623802,4.83204709573686,0.693913371606971,TRUE
EGF_000502,28.65322265625,22.444873046875,306.787439386758,46.528137674159,33.7929135043821,18.1914736849897,25.9921935946859,40.8120768420968,8.26165656260576,27.1810333923972,1.53214113977802,0,31.433788239296,3.31529621633389,4.83442455249347,0.707754593097731,TRUE
EGF_000503,28.75322265625,22.444873046875,307.908251244294,46.6978949591506,33.8036590443428,18.2001599669233,26.001909505633,40.8209457713685,8.27098843033802,27.1786381219059,1.52956636338656,0,31.425175858644,3.31673409918475,4.83689500450999,0.726024332464785,TRUE
EGF_000504,28.85322265625,22.444873046875,309.079639042641,46.8761045037237,33.8148746160936,18.2093306777842,26.0121026469389,40.8302139833271,8.28081577327372,27.1761302800782,1.52701703282962,0,31.4158667105802,3.31821043513148,4.83946068967091,0.740091984674845,TRUE
EGF_000505,28.95322265625,22.444873046875,310.303520000503,47.0631314927297,33.8265776974774,18.2190089085571,26.0227933030173,40.8398962372238,8.2911604332506,27.1735061770664,1.52449357603116,0,31.4058072586419,3.31972515588174,4.84212394081972,0.767423802585464,TRUE
EGF_000506,29.05322265625,22.444873046875,311.581867612925,47.2593505174761,33.838786290434,18.229218310009,26.0340023002215,40.8500076574613,8.30204481401804,27.1707620146634,1.52199567186237,0,31.3949424550589,3.32127821807375,4.84488718718752,0.76680305434138,TRUE
EGF_000507,29.15322265625,22.444873046875,312.916707878199,47.465144723577,33.8515188863459,18.2399830366258,26.0457509614858,40.8605637004128,8.3134918331091,27.1678938901625,1.51952222897305,0,31.3832158808327,3.32286960605846,4.8477529538425,0.721917984692638,TRUE
EGF_000508,29.25322265625,22.444873046875,314.310114363935,47.680904769927,33.8647944205064,18.251327679637,26.0580610500717,40.8715801129678,8.32552486257803,27.1648978025618,1.51707137315136,0,31.3705699080001,3.32449933378011,4.85072385884062,0.714452757229,TRUE
EGF_000509,29.35322265625,22.444873046875,315.764201960083,47.9070275748848,33.8786322143051,18.2632771877493,26.0709547010272,40.8830728817177,8.33816765713329,27.1617696615021,1.51464044365226,0,31.3569458865715,3.32616744563286,4.85380260774071,0.703248019711753,TRUE
EGF_000510,29.45322265625,22.444873046875,317.281119152351,48.143914823111,33.8930519035977,18.2758567740494,26.0844543388236,40.895058171578,8.3514442680415,27.1585052993583,1.51222599886604,0,31.3422843588693,3.32787401616988,4.85699198513171,0.704685770598769,TRUE
EGF_000511,29.55322265625,22.444873046875,318.863038635153,48.3919712038228,33.9080733515964,18.2890918073829,26.0985825794896,40.9075522525183,8.36537894102289,27.1551004869389,1.50982383163171,0,31.3265253042261,3.32961914853883,4.8602948428044,0.724812273528872,TRUE
EGF_000512,29.65322265625,22.444873046875,320.512146069368,48.6516023486291,33.9237165444907,18.3030076863621,26.1133621154264,40.9205714129544,8.37999599620989,27.1515509532789,1.50742899443584,0,31.3096084172179,3.33140297151634,4.86371408418693,0.793662948189551,TRUE
EGF_000513,29.75322265625,22.444873046875,322.230626777592,48.9232124347074,33.9400014678927,18.3176296940211,26.1288155809569,40.9341318582477,8.39531968810568,27.147852410035,1.50503583467552,0,31.291473422799,3.33322563501237,4.86725264465294,0.753380970308768,TRUE
EGF_000514,29.85322265625,22.444873046875,324.020650159199,49.2072014170519,33.9569479621055,18.3329828310148,26.1449653965601,40.9482495926594,8.41137404336688,27.1440005810162,1.50263804010555,0,31.2720604318588,3.33508730391511,4.87091346730418,0.755853181916007,TRUE
EGF_000515,29.95322265625,22.444873046875,325.88435160037,49.5039618520489,33.9745755541482,18.3490916251791,26.1618335896637,40.9629402830422,8.42818267415651,27.1399912373923,1.50022869453226,0,31.2513103408162,3.33698815014761,4.87469947382845,0.725663604141576,TRUE
EGF_000516,30.05322265625,22.444873046875,327.8238116517,49.8138752739471,33.9929032644466,18.3659799152289,26.1794415898377,40.9782191025147,8.44576856478203,27.1358202391239,1.49780034376001,0,31.2291652788937,3.33892834281038,4.87861353003998,0.734636270716591,TRUE
EGF_000517,30.15322265625,22.444873046875,329.841032249561,50.1373080861498,34.0119493861283,18.3836706063936,26.1978099962609,40.9941005523801,8.46415382936415,27.1314835831462,1.49534507173854,0,31.2055691066336,3.34090803629023,4.88265840572528,0.765599890514867,TRUE
EGF_000518,30.25322265625,22.444873046875,329.266074916129,49.5443670212227,34.0083059231917,18.3132598539377,26.1607828885647,40.94958953691,8.4330062449766,27.140623643867,1.77758678565774,0,31.1699636950257,3.38984251755725,4.96640906336026,0.685466970055902,TRUE
